feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,matched_event,delay_days,is_true_positive
tfidf,left_none_daily,left_none,left,none,PageHinkley,2024-07-16,D,daily,0.912206577920844,Trump assassination attempt,3.0,True
tfidf,left_none_daily,left_none,left,none,PageHinkley,2024-08-07,D,daily,0.8566590068267051,Harris becomes Democratic nominee,2.0,True
tfidf,left_none_daily,left_none,left,none,PageHinkley,2024-12-09,D,daily,0.8798505731046911,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-02-22,D,daily,0.9139946400285539,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-04-17,D,daily,0.9162910586676168,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-05-03,D,daily,0.8661994126128345,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-05-10,D,daily,0.9710648784247529,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-05-28,D,daily,0.9478937021898655,Trump conviction,-2.0,True
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,KSWIN,2024-06-04,D,daily,0.8721552873331927,Trump conviction,5.0,True
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-07-30,D,daily,0.9582412648484434,Harris becomes Democratic nominee,-6.0,True
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-08-13,D,daily,0.9145871446072167,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-09-02,D,daily,0.9061832929914875,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-10-03,D,daily,0.8511187327380688,Vice presidential debate,2.0,True
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-10-20,D,daily,0.9079957667699609,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,KSWIN,2024-10-21,D,daily,0.8854104459096639,,,False
tfidf,mixed_global_undersampled_daily,mixed_global_undersampled,mixed,global_undersampled,PageHinkley,2024-11-20,D,daily,0.8867323515365639,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-02-23,D,daily,0.9073643581866108,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-03-13,D,daily,0.9033839346404251,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-04-12,D,daily,0.9131709838390083,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-05-10,D,daily,0.9565753222610505,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-07-03,D,daily,0.9314699369585012,First presidential debate,6.0,True
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-07-25,D,daily,0.9765738880680777,Biden withdraws from race,4.0,True
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-10-03,D,daily,0.8646348750026148,Vice presidential debate,2.0,True
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-10-15,D,daily,0.9317421225487664,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,KSWIN,2024-10-21,D,daily,0.9264476816072357,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,PageHinkley,2024-11-21,D,daily,0.8960810016181879,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,KSWIN,2024-11-27,D,daily,0.9013822336797918,,,False
tfidf,mixed_max3_per_class_day_daily,mixed_max3_per_class_day,mixed,max3_per_class_day,KSWIN,2025-01-13,D,daily,0.8398799633740822,Trump inauguration,-7.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-15,D,daily,0.8714153885157963,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-02-20,D,daily,0.7706090553576996,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-09,D,daily,0.8715689766379817,Start of campaign,4.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-17,D,daily,0.8302464122862419,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-03-25,D,daily,0.8502175786685531,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-04-07,D,daily,0.8596478125034264,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-04-13,D,daily,0.8268471040230714,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-04-28,D,daily,0.6713651435706173,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-10,D,daily,0.7680311232702373,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-19,D,daily,0.8253053377237827,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-05-25,D,daily,0.8793097462136833,Trump conviction,-5.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-05-28,D,daily,0.8532925169190096,Trump conviction,-2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-16,D,daily,0.864684608739236,,,False
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-06-23,D,daily,0.8571292926712232,First presidential debate,-4.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,KSWIN,2024-06-29,D,daily,0.6001223372635613,First presidential debate,2.0,True
tfidf,mixed_raw_daily,mixed_raw,mixed,raw,PageHinkley,2024-07-05,D,daily,0.784635643383135,,,False
