stream_group,stream_source,stream_family,sampling,time_window,time_window_code,time_window_name,drift_score,n_articles,left_articles,right_articles,feature_type
left_none_weekly,left_none,left,none,2024-02-12,W,weekly,0.36883244038947516,22,22,0,embedding
left_none_weekly,left_none,left,none,2024-02-19,W,weekly,0.6179558274864975,16,16,0,embedding
left_none_weekly,left_none,left,none,2024-02-26,W,weekly,0.700264376174716,20,20,0,embedding
left_none_weekly,left_none,left,none,2024-03-04,W,weekly,0.7635634875251407,17,17,0,embedding
left_none_weekly,left_none,left,none,2024-03-11,W,weekly,0.307929800736243,22,22,0,embedding
left_none_weekly,left_none,left,none,2024-04-01,W,weekly,0.6526533452559866,21,21,0,embedding
left_none_weekly,left_none,left,none,2024-04-08,W,weekly,0.7002712986071494,19,19,0,embedding
left_none_weekly,left_none,left,none,2024-04-15,W,weekly,0.5616859884953309,17,17,0,embedding
left_none_weekly,left_none,left,none,2024-04-22,W,weekly,0.6288634799379034,16,16,0,embedding
left_none_weekly,left_none,left,none,2024-04-29,W,weekly,0.7619635619635847,20,20,0,embedding
left_none_weekly,left_none,left,none,2024-05-06,W,weekly,0.6395107535877625,16,16,0,embedding
left_none_weekly,left_none,left,none,2024-06-03,W,weekly,0.6884407055199563,15,15,0,embedding
left_none_weekly,left_none,left,none,2024-06-10,W,weekly,0.6636212840896061,19,19,0,embedding
left_none_weekly,left_none,left,none,2024-06-24,W,weekly,0.9065230889610842,15,15,0,embedding
left_none_weekly,left_none,left,none,2024-07-08,W,weekly,0.9247185999834213,17,17,0,embedding
left_none_weekly,left_none,left,none,2024-07-15,W,weekly,0.5751794513468562,24,24,0,embedding
left_none_weekly,left_none,left,none,2024-07-29,W,weekly,0.5066536588344113,16,16,0,embedding
left_none_weekly,left_none,left,none,2024-08-12,W,weekly,0.6813394094952134,18,18,0,embedding
left_none_weekly,left_none,left,none,2024-08-19,W,weekly,0.7000163863964934,23,23,0,embedding
left_none_weekly,left_none,left,none,2024-08-26,W,weekly,0.6595437934380646,15,15,0,embedding
left_none_weekly,left_none,left,none,2024-09-02,W,weekly,0.4636003579423815,22,22,0,embedding
left_none_weekly,left_none,left,none,2024-09-09,W,weekly,0.699405164056101,21,21,0,embedding
left_none_weekly,left_none,left,none,2024-09-23,W,weekly,0.7131342029058312,25,25,0,embedding
left_none_weekly,left_none,left,none,2024-10-07,W,weekly,0.32479565899475826,19,19,0,embedding
