stream_group,time_window,drift_score,n_articles
left,2024-04-04,0.8103265210683493,5
left,2024-04-10,0.8360698237185964,6
left,2024-04-11,0.8423200597174126,6
left,2024-04-15,0.8842346877436594,6
left,2024-04-24,0.8618447047308908,6
left,2024-04-30,0.8652034546154141,6
left,2024-05-03,0.7015698496037458,6
left,2024-05-10,0.8420666542281237,5
left,2024-05-16,0.8807622299230735,5
left,2024-06-04,0.8149614005704767,6
left,2024-06-13,0.7436220444345643,6
left,2024-06-28,0.7561191926202846,7
left,2024-07-02,0.8788243892479679,7
left,2024-07-08,0.8794712968918161,5
left,2024-07-16,0.8948248421397067,6
left,2024-07-17,0.7705849298526235,5
left,2024-07-18,0.5486483328074543,8
left,2024-07-23,0.6396419688993594,5
left,2024-08-01,0.7601331531643619,6
left,2024-08-02,0.7523961566048042,7
left,2024-08-07,0.819813119726444,5
left,2024-08-14,0.8426550343054668,5
left,2024-08-21,0.7330174651401585,9
left,2024-08-22,0.7363744860318103,7
left,2024-08-27,0.7831763777641769,9
left,2024-09-04,0.8060865441339864,6
left,2024-09-06,0.6605107996054411,5
left,2024-09-10,0.7833067646640282,5
left,2024-09-13,0.7770716204975232,5
left,2024-09-20,0.779746375062203,5
left,2024-09-23,0.5148047424869908,5
left,2024-09-25,0.7080543562112896,11
left,2024-09-27,0.7083890371204032,7
left,2024-10-07,0.7147505468906559,5
left,2024-10-10,0.8554513952696616,5
left,2024-10-21,0.7925678893058787,10
left,2024-10-24,0.6522809269710708,5
left,2024-10-25,0.6419038687238812,5
left,2024-11-01,0.552701836591964,8
left,2024-11-05,0.47952841453238526,5
left,2024-11-11,0.7121613953826018,6
left,2024-11-13,0.7407718236961529,5
left,2024-11-15,0.6904561734002395,7
left,2024-11-25,0.6854722913308688,7
left,2024-12-03,0.8605304954062719,5
left,2024-12-09,0.870624777780803,5
left,2024-12-17,0.8685610667428689,6
left,2024-12-18,0.8461117720249278,8
left,2025-01-06,0.7199322298928124,5
left,2025-01-09,0.8260183326401619,6
left,2025-01-13,0.7962905531973723,5
left,2025-01-16,0.8401173941907094,5
left,2025-01-20,0.831640974378998,7
left,2025-01-23,0.8492032671816191,7
left,2025-01-24,0.8259397340440859,5
left,2025-01-30,0.8459058361381961,5
left,2025-02-03,0.8579636599981648,6
left,2025-02-04,0.8629730215447836,5
left,2025-02-06,0.8160583024177401,7
left,2025-02-07,0.752736036681909,5
left,2025-02-13,0.6759690958980676,5
left,2025-02-19,0.7527071430555562,5
mixed,2024-03-24,0.6600198116652185,14
mixed,2024-03-29,0.7443053393344155,25
mixed,2024-03-30,0.7291295562571469,21
mixed,2024-03-31,0.3735441277128002,9
mixed,2024-04-01,0.7283271418328972,15
mixed,2024-04-04,0.7921739099725613,5
mixed,2024-04-06,0.9158777372077437,5
mixed,2024-04-07,0.8716827050545074,12
mixed,2024-04-08,0.8577578118045757,5
mixed,2024-04-10,0.8498997493706062,6
mixed,2024-04-11,0.8423200597174126,6
mixed,2024-04-14,0.8950222227015898,14
mixed,2024-04-15,0.83198334721492,6
mixed,2024-04-21,0.8294992835461098,12
mixed,2024-04-24,0.8553454617224087,6
